source,target,weight
Chao Zhang 0014,Jiawei Han 0001,6
Xinhe Geng,Jiawei Han 0001,1
Jiawei Han 0001,Adit Krishnan,1
Jiawei Han 0001,Aravind Sankar,1
Jiawei Han 0001,Chenguang Wang,1
Jiawei Han 0001,Yangqiu Song,1
Jiawei Han 0001,Haoran Li 0003,1
Jiawei Han 0001,Yizhou Sun,1
Jiawei Han 0001,Mengxiong Liu,1
Jiawei Han 0001,Zhengchao Liu,1
Jiawei Han 0001,Jian Tang 0005,1
Jiawei Han 0001,Ming Zhang 0004,2
Jiawei Han 0001,Shi Zhi,2
Jiawei Han 0001,Yicheng Sun,1
Jiawei Han 0001,Jiayi Liu,1
Jiawei Han 0001,Zeqiu Wu,1
Jiawei Han 0001,Wenqi He,1
Jiawei Han 0001,Clare R. Voss,1
Jiawei Han 0001,Heng Ji,1
Jiawei Han 0001,Tarek F. Abdelzaher,1
Jiawei Han 0001,Keyang Zhang,2
Jiawei Han 0001,Haoruo Peng,1
Jiawei Han 0001,Yu Zheng 0004,1
Jiawei Han 0001,Shaowen Wang,1
Jiawei Han 0001,Liyuan Liu,1
Jiawei Han 0001,Dongming Lei,1
Jiawei Han 0001,Tim Hanratty,3
Jiawei Han 0001,Yu Shi,1
Jiawei Han 0001,Po-Wei Chan,1
Jiawei Han 0001,Honglei Zhuang,2
Jiawei Han 0001,Huan Gui,1
Jiawei Han 0001,Meng Jiang 0001,1
Jiawei Han 0001,Taylor Cassidy,1
Jiawei Han 0001,Lance M. Kaplan,1
Jiawei Han 0001,Timothy P. Hanratty,1
Jiawei Han 0001,Carl Yang,1
Jiawei Han 0001,Lanxiao Bai,1
Jiawei Han 0001,Meng Qu,3
Jiawei Han 0001,Xiang Ren 0001,4
Zhe Chen,Sasha Dadiomov,1
Zhe Chen,Richard Wesley,1
Zhe Chen,Gang Xiao,1
Zhe Chen,Daniel Cory,1
Zhe Chen,Michael J. Cafarella,1
Zhe Chen,Jock D. Mackinlay,1
Sasha Dadiomov,Richard Wesley,1
Sasha Dadiomov,Gang Xiao,1
Sasha Dadiomov,Daniel Cory,1
Sasha Dadiomov,Michael J. Cafarella,1
Sasha Dadiomov,Jock D. Mackinlay,1
Richard Wesley,Gang Xiao,1
Richard Wesley,Daniel Cory,1
Richard Wesley,Michael J. Cafarella,1
Richard Wesley,Jock D. Mackinlay,1
Gang Xiao,Daniel Cory,1
Gang Xiao,Michael J. Cafarella,1
Gang Xiao,Jock D. Mackinlay,1
Daniel Cory,Michael J. Cafarella,1
Daniel Cory,Jock D. Mackinlay,1
Michael J. Cafarella,Jock D. Mackinlay,1
Sridevi Baskaran,Alexander Keller 0003,1
Sridevi Baskaran,Fei Chiang,1
Sridevi Baskaran,Lukasz Golab,1
Sridevi Baskaran,Jaroslaw Szlichta,1
Alexander Keller 0003,Fei Chiang,1
Alexander Keller 0003,Lukasz Golab,1
Alexander Keller 0003,Jaroslaw Szlichta,1
Fei Chiang,Lukasz Golab,1
Fei Chiang,Jaroslaw Szlichta,1
Lukasz Golab,Jaroslaw Szlichta,1
Lukasz Golab,Xiao Meng,1
Baichuan Zhang,Mohammad Al Hasan,1
Mohammad Al Hasan,Tanay Kumar Saha,1
Mohammad Al Hasan,Shafiq R. Joty,1
Mohammad Al Hasan,Naeemul Hassan,1
Mohammad Al Hasan,Mansurul Alam Bhuiyan,1
Mohammad Al Hasan,Nesreen K. Ahmed,1
Mohammad Al Hasan,Aritra Mandal,1
Mohammad Al Hasan,Vachik S. Dave,2
Mohammad Al Hasan,Chandan K. Reddy,1
Hoang Dung Vu,Kok-Soon Chai,1
Hoang Dung Vu,Bryan Keating,1
Hoang Dung Vu,Nurislam Tursynbek,1
Hoang Dung Vu,Boyan Xu,1
Hoang Dung Vu,Kaige Yang,1
Hoang Dung Vu,Xiaoyan Yang,1
Hoang Dung Vu,Zhenjie Zhang,1
Kok-Soon Chai,Bryan Keating,1
Kok-Soon Chai,Nurislam Tursynbek,1
Kok-Soon Chai,Boyan Xu,1
Kok-Soon Chai,Kaige Yang,1
Kok-Soon Chai,Xiaoyan Yang,1
Kok-Soon Chai,Zhenjie Zhang,1
Bryan Keating,Nurislam Tursynbek,1
Bryan Keating,Boyan Xu,1
Bryan Keating,Kaige Yang,1
Bryan Keating,Xiaoyan Yang,1
Bryan Keating,Zhenjie Zhang,1
Nurislam Tursynbek,Boyan Xu,1
Nurislam Tursynbek,Kaige Yang,1
Nurislam Tursynbek,Xiaoyan Yang,1
Nurislam Tursynbek,Zhenjie Zhang,1
Boyan Xu,Kaige Yang,1
Boyan Xu,Xiaoyan Yang,1
Boyan Xu,Zhenjie Zhang,1
Kaige Yang,Xiaoyan Yang,1
Kaige Yang,Zhenjie Zhang,1
Xiaoyan Yang,Zhenjie Zhang,1
Jundong Li,Harsh Dani,1
Jundong Li,Xia Hu,1
Jundong Li,Yilin Wang,1
Jundong Li,Jiliang Tang,2
Jundong Li,Baoxin Li,1
Jundong Li,Yali Wan,1
Jundong Li,Clayton Mellina,1
Jundong Li,Neil O'Hare,1
Jundong Li,Yi Chang 0001,2
Jundong Li,Kewei Cheng,1
Jundong Li,Huan Liu 0001,2
Harsh Dani,Xia Hu,1
Harsh Dani,Jiliang Tang,1
Harsh Dani,Yi Chang 0001,1
Harsh Dani,Huan Liu 0001,1
Xia Hu,Jiliang Tang,1
Xia Hu,Yi Chang 0001,1
Xia Hu,Shuiwang Ji,1
Xia Hu,Xiangnan He 0001,1
Xia Hu,Lizi Liao,1
Xia Hu,Hanwang Zhang,1
Xia Hu,Liqiang Nie,1
Xia Hu,Tat-Seng Chua,1
Xia Hu,Qingquan Song,1
Xia Hu,Xiao Huang 0001,1
Xia Hu,Hancheng Ge,1
Xia Hu,James Caverlee,1
Xia Hu,Liang Wu 0006,3
Xia Hu,Fred Morstatter,2
Xia Hu,Huan Liu 0001,4
Jiliang Tang,Xiangyu Zhao,1
Jiliang Tang,Zhiwei Wang 0001,1
Jiliang Tang,Tyler Derr,1
Jiliang Tang,Charu C. Aggarwal,1
Jiliang Tang,Baoxin Li,1
